Pclass,Sex,SibSp,Parch,Fare,Embarked,Fam_size,Fam_type,Title,Name_len,Name_cat,Age_guess,N_Cabins,Cabin_letter,Survived
3,0,1,0,7.25,0.0,1,2,1,23,0,22.0,0.0,1,0
1,1,1,0,71.2833,2.0,1,2,5,51,2,38.0,1.0,4,1
3,1,0,0,7.925,0.0,0,1,4,22,0,26.0,0.0,1,1
1,1,1,0,53.1,0.0,1,2,5,44,2,35.0,1.0,4,1
3,0,0,0,8.05,0.0,0,1,1,24,0,35.0,0.0,1,0
3,0,0,0,8.4583,1.0,0,1,1,16,0,26.269104730091904,0.0,1,0
1,0,0,0,51.8625,0.0,0,1,1,23,0,54.0,1.0,7,0
3,0,3,1,21.075,0.0,4,0,3,30,1,2.0,0.0,1,0
3,1,0,2,11.1333,0.0,2,2,5,49,2,27.0,0.0,1,1
2,1,1,0,30.0708,2.0,1,2,5,35,2,14.0,0.0,1,1
3,1,1,1,16.7,0.0,2,2,4,31,1,4.0,1.0,3,1
1,1,0,0,26.55,0.0,0,1,4,24,0,58.0,1.0,4,1
3,0,0,0,8.05,0.0,0,1,1,30,1,20.0,0.0,1,0
3,0,1,5,31.275,0.0,6,0,1,27,0,39.0,0.0,1,0
3,1,0,0,7.8542,0.0,0,1,4,36,2,14.0,0.0,1,0
2,1,0,0,16.0,0.0,0,1,5,32,1,55.0,0.0,1,1
3,0,4,1,29.125,1.0,5,0,3,20,0,2.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,28,1,30.23937176506277,0.0,1,1
3,1,1,0,18.0,0.0,1,2,5,55,2,31.0,0.0,1,0
3,1,0,0,7.225,2.0,0,1,5,23,0,42.24902719330462,0.0,1,1
2,0,0,0,26.0,0.0,0,1,1,20,0,35.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,21,0,34.0,1.0,8,1
3,1,0,0,8.0292,1.0,0,1,4,27,0,15.0,0.0,1,1
1,0,0,0,35.5,0.0,0,1,1,28,1,28.0,1.0,2,1
3,1,3,1,21.075,0.0,4,0,4,29,1,8.0,0.0,1,0
3,1,1,5,31.3875,0.0,6,0,5,57,2,38.0,0.0,1,1
3,0,0,0,7.225,2.0,0,1,1,23,0,27.329314503787025,0.0,1,0
1,0,3,2,263.0,0.0,5,0,1,30,1,19.0,3.0,4,0
3,1,0,0,7.8792,1.0,0,1,4,29,1,21.257886512311426,0.0,1,1
3,0,0,0,7.8958,0.0,0,1,1,19,0,29.141757098574107,0.0,1,0
1,0,0,0,27.7208,2.0,0,1,2,24,0,40.0,0.0,1,0
1,1,1,0,146.5208,2.0,1,2,5,46,2,54.135853585776694,1.0,6,1
3,1,0,0,7.75,1.0,0,1,4,24,0,27.69894447000022,0.0,1,1
2,0,0,0,10.5,0.0,0,1,1,21,0,66.0,0.0,1,0
1,0,1,0,82.1708,2.0,1,2,1,23,0,28.0,0.0,1,0
1,0,1,0,52.0,0.0,1,2,1,30,1,42.0,0.0,1,0
3,0,0,0,7.2292,2.0,0,1,1,16,0,25.28456780015633,0.0,1,1
3,0,0,0,8.05,0.0,0,1,1,24,0,21.0,0.0,1,0
3,1,2,0,18.0,0.0,2,2,4,34,2,18.0,0.0,1,0
3,1,1,0,11.2417,2.0,1,2,4,27,0,14.0,0.0,1,1
3,1,1,0,9.475,0.0,1,2,5,46,2,40.0,0.0,1,0
2,1,1,0,21.0,0.0,1,2,5,56,2,27.0,0.0,1,0
3,0,0,0,7.8958,2.0,0,1,1,19,0,29.141757098574107,0.0,1,0
2,1,1,2,41.5792,2.0,3,2,4,40,2,3.0,0.0,1,1
3,1,0,0,7.8792,1.0,0,1,4,29,1,19.0,0.0,1,1
3,0,0,0,8.05,0.0,0,1,1,24,0,29.707928479869302,0.0,1,0
3,0,1,0,15.5,1.0,1,2,1,17,0,32.38228249299776,0.0,1,0
3,1,0,0,7.75,1.0,0,1,4,25,0,27.69894447000022,0.0,1,1
3,0,2,0,21.6792,2.0,2,2,1,19,0,25.029319438688397,0.0,1,0
3,1,1,0,17.8,0.0,1,2,5,45,2,18.0,0.0,1,0
3,0,4,1,39.6875,0.0,5,0,3,26,0,7.0,0.0,1,0
3,0,0,0,7.8,0.0,0,1,1,28,1,21.0,0.0,1,0
1,1,1,0,76.7292,2.0,1,2,5,40,2,49.0,1.0,8,1
2,1,1,0,26.0,0.0,1,2,5,50,2,29.0,0.0,1,1
1,0,0,1,61.9792,2.0,1,2,1,30,1,65.0,1.0,6,0
1,0,0,0,35.5,0.0,0,1,1,17,0,42.87004805156164,1.0,4,1
2,1,0,0,10.5,0.0,0,1,4,17,0,21.0,0.0,1,1
3,0,0,0,7.2292,2.0,0,1,1,19,0,28.5,0.0,1,0
2,1,1,2,27.75,0.0,3,2,4,28,1,5.0,0.0,1,1
3,0,5,2,46.9,0.0,7,0,3,34,2,11.0,0.0,1,0
3,0,0,0,7.2292,2.0,0,1,1,21,0,22.0,0.0,1,0
1,1,0,0,80.0,2.0,0,1,4,19,0,38.0,1.0,6,1
1,0,1,0,83.475,0.0,1,2,1,27,0,45.0,1.0,4,0
3,0,3,2,27.9,0.0,5,0,3,21,0,4.0,0.0,1,0
1,0,0,0,27.7208,2.0,0,1,1,21,0,39.45317045364363,0.0,1,0
3,0,1,1,15.2458,2.0,2,2,3,24,0,7.008393538925427,0.0,1,1
2,1,0,0,10.5,0.0,0,1,5,28,1,29.0,1.0,5,1
3,0,0,0,8.1583,0.0,0,1,1,24,0,19.0,0.0,1,0
3,1,4,2,7.925,0.0,6,0,4,31,1,17.0,0.0,1,1
3,0,2,0,8.6625,0.0,2,2,1,17,0,26.0,0.0,1,0
2,0,0,0,10.5,0.0,0,1,1,26,0,32.0,0.0,1,0
3,1,5,2,46.9,0.0,7,0,4,26,0,16.0,0.0,1,0
2,0,0,0,73.5,0.0,0,1,1,20,0,21.0,0.0,1,0
3,0,1,0,14.4542,2.0,1,2,1,27,0,26.0,0.0,1,0
3,0,0,0,56.4958,0.0,0,1,1,13,0,32.0,0.0,1,1
3,0,0,0,7.65,0.0,0,1,1,23,0,25.0,2.0,5,0
3,0,0,0,7.8958,0.0,0,1,1,17,0,29.141757098574107,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,24,0,29.707928479869302,0.0,1,0
2,0,0,2,29.0,0.0,2,2,3,29,1,0.8299999999999998,0.0,1,1
3,1,0,0,12.475,0.0,0,1,4,24,0,30.0,0.0,1,1
3,0,0,0,9.0,0.0,0,1,1,20,0,22.0,0.0,1,0
3,0,0,0,9.5,0.0,0,1,1,27,0,29.0,0.0,1,1
3,1,0,0,7.7875,1.0,0,1,4,30,1,18.015651527034795,0.0,1,1
1,0,0,0,47.1,0.0,0,1,1,23,0,28.0,0.0,1,0
2,1,0,0,10.5,0.0,0,1,4,19,0,17.0,0.0,1,1
3,1,3,0,15.85,0.0,3,2,5,55,2,33.0,0.0,1,1
3,0,1,3,34.375,0.0,4,0,1,22,0,16.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,29,1,27.44793266395643,0.0,1,0
1,1,3,2,263.0,0.0,5,0,4,26,0,23.0,3.0,4,1
3,0,0,0,8.05,0.0,0,1,1,22,0,24.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,20,0,29.0,0.0,1,0
3,0,0,0,7.8542,0.0,0,1,1,26,0,20.0,0.0,1,0
1,0,1,0,61.175,0.0,1,2,1,27,0,46.0,1.0,7,0
3,0,1,2,20.575,0.0,3,2,1,23,0,26.0,0.0,1,0
3,0,0,0,7.25,0.0,0,1,1,17,0,59.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,27,0,29.707928479869302,0.0,1,0
1,0,0,0,34.6542,2.0,0,1,1,25,0,71.0,1.0,2,0
1,0,0,1,63.3583,2.0,1,2,1,31,1,23.0,2.0,8,1
2,1,0,1,23.0,0.0,1,2,5,36,2,34.0,0.0,1,1
2,0,1,0,26.0,0.0,1,2,1,17,0,34.0,0.0,1,0
3,1,0,0,7.8958,0.0,0,1,4,23,0,28.0,0.0,1,0
3,0,0,0,7.8958,0.0,0,1,1,32,1,26.984048826028943,0.0,1,0
1,0,0,1,77.2875,0.0,1,2,1,25,0,21.0,1.0,8,0
3,0,0,0,8.6542,0.0,0,1,1,26,0,33.0,0.0,1,0
3,0,2,0,7.925,0.0,2,2,1,30,1,37.0,0.0,1,0
3,0,0,0,7.8958,0.0,0,1,1,21,0,28.0,0.0,1,0
3,1,0,0,7.65,0.0,0,1,4,32,1,21.0,0.0,1,1
3,0,0,0,7.775,0.0,0,1,1,22,0,28.888740309722028,0.0,1,1
3,0,0,0,7.8958,0.0,0,1,1,15,0,38.0,0.0,1,0
3,1,1,0,24.15,1.0,1,2,4,19,0,19.670749322654252,0.0,1,1
1,0,0,0,52.0,0.0,0,1,1,30,1,47.0,1.0,4,0
3,1,1,0,14.4542,2.0,1,2,4,20,0,14.5,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,22,0,22.0,0.0,1,0
3,1,1,0,9.825,0.0,1,2,4,23,0,20.0,0.0,1,0
3,1,0,0,14.4583,2.0,0,1,4,21,0,17.0,0.0,1,0
3,0,0,0,7.925,0.0,0,1,1,21,0,21.0,0.0,1,0
3,0,0,0,7.75,1.0,0,1,1,20,0,70.5,0.0,1,0
2,0,1,0,21.0,0.0,1,2,1,31,1,29.0,0.0,1,0
1,0,0,1,247.5208,2.0,1,2,1,24,0,24.0,2.0,6,0
3,1,4,2,31.275,0.0,6,0,4,33,2,2.0,0.0,1,0
2,0,2,0,73.5,0.0,2,2,1,27,0,21.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,26,0,29.707928479869302,0.0,1,0
2,0,1,0,30.0708,2.0,1,2,1,20,0,32.5,0.0,1,0
2,1,0,0,13.0,0.0,0,1,4,19,0,32.5,1.0,7,1
1,0,0,1,77.2875,0.0,1,2,1,27,0,54.0,1.0,8,0
3,0,1,0,11.2417,2.0,1,2,3,28,1,12.0,0.0,1,1
3,0,0,0,7.75,1.0,0,1,1,19,0,36.82876862250222,0.0,1,0
3,0,0,0,7.1417,0.0,0,1,1,25,0,24.0,0.0,1,1
3,1,1,1,22.3583,2.0,2,2,4,17,0,7.1883155598677195,2.0,5,1
3,0,0,0,6.975,0.0,0,1,1,18,0,45.0,0.0,1,0
3,0,0,0,7.8958,2.0,0,1,1,20,0,33.0,0.0,1,0
3,0,0,0,7.05,0.0,0,1,1,30,1,20.0,0.0,1,0
3,1,1,0,14.5,0.0,1,2,5,46,2,47.0,0.0,1,0
2,1,1,0,26.0,0.0,1,2,5,45,2,29.0,0.0,1,1
2,0,0,0,13.0,0.0,0,1,1,30,1,25.0,0.0,1,0
2,0,0,0,15.0458,2.0,0,1,1,18,0,23.0,0.0,1,0
1,1,0,2,26.2833,0.0,2,2,4,28,1,19.0,1.0,8,1
1,0,1,0,53.1,0.0,1,2,1,27,0,37.0,1.0,4,0
3,0,0,0,9.2167,0.0,0,1,1,19,0,16.0,0.0,1,0
1,0,0,0,79.2,2.0,0,1,1,18,0,24.0,1.0,6,0
3,1,0,2,15.2458,2.0,2,2,5,29,1,34.21128566448907,0.0,1,0
3,1,0,0,7.75,0.0,0,1,4,24,0,22.0,0.0,1,1
3,1,1,0,15.85,0.0,1,2,5,52,2,24.0,0.0,1,1
3,0,0,0,6.75,1.0,0,1,1,19,0,19.0,0.0,1,0
2,0,0,0,11.5,0.0,0,1,1,26,0,18.0,0.0,1,0
2,0,1,1,36.75,0.0,2,2,1,28,1,19.0,0.0,1,0
3,0,0,0,7.7958,0.0,0,1,1,44,2,27.0,0.0,1,1
3,1,2,2,34.375,0.0,4,0,4,32,1,9.0,0.0,1,0
2,0,0,2,26.0,0.0,2,2,1,40,2,36.5,1.0,5,0
2,0,0,0,13.0,0.0,0,1,0,33,2,42.0,0.0,1,0
2,0,0,0,12.525,0.0,0,1,0,26,0,51.0,0.0,1,0
1,1,1,0,66.6,0.0,1,2,5,33,2,22.0,1.0,4,1
3,0,0,0,8.05,0.0,0,1,1,16,0,55.5,0.0,1,0
3,0,0,2,14.5,0.0,2,2,1,31,1,40.5,0.0,1,0
3,0,0,0,7.3125,0.0,0,1,1,21,0,29.23460123392306,0.0,1,0
1,0,0,1,61.3792,2.0,1,2,1,27,0,51.0,0.0,1,0
3,1,0,0,7.7333,1.0,0,1,4,32,1,16.0,0.0,1,1
3,0,0,0,8.05,0.0,0,1,1,15,0,30.0,0.0,1,0
3,0,0,0,8.6625,0.0,0,1,1,19,0,26.470531181979027,0.0,1,0
3,0,8,2,69.55,0.0,10,0,3,26,0,13.391402336786678,0.0,1,0
3,0,0,1,16.1,0.0,1,2,1,24,0,44.0,0.0,1,0
2,1,0,0,15.75,0.0,0,1,5,50,2,40.0,0.0,1,1
3,0,0,0,7.775,0.0,0,1,1,26,0,26.0,0.0,1,0
3,0,0,0,8.6625,0.0,0,1,1,15,0,17.0,0.0,1,0
3,0,4,1,39.6875,0.0,5,0,3,28,1,1.0,0.0,1,0
3,0,0,2,20.525,0.0,2,2,3,47,2,9.0,0.0,1,1
1,1,0,1,55.0,0.0,1,2,5,38,2,40.84778967738824,1.0,7,1
3,1,1,4,27.9,0.0,5,0,5,47,2,45.0,0.0,1,0
1,0,0,0,25.925,0.0,0,1,1,19,0,44.50915767174826,0.0,1,0
3,0,0,0,56.4958,0.0,0,1,1,13,0,28.0,0.0,1,0
1,0,0,0,33.5,0.0,0,1,1,25,0,61.0,1.0,6,0
3,0,4,1,29.125,1.0,5,0,3,20,0,4.0,0.0,1,0
3,1,1,1,11.1333,0.0,2,2,4,28,1,1.0,0.0,1,1
3,0,0,0,7.925,0.0,0,1,1,25,0,21.0,0.0,1,0
1,0,0,0,30.6958,2.0,0,1,1,23,0,56.0,1.0,2,0
3,0,1,1,7.8542,0.0,2,2,1,22,0,18.0,0.0,1,0
3,0,3,1,25.4667,0.0,4,0,3,29,1,7.140389796918758,0.0,1,0
1,1,0,0,28.7125,2.0,0,1,4,26,0,50.0,1.0,4,0
2,0,0,0,13.0,0.0,0,1,1,18,0,30.0,0.0,1,0
3,0,0,0,0.0,0.0,0,1,1,19,0,36.0,0.0,1,0
3,1,8,2,69.55,0.0,10,0,4,28,1,15.950199668469589,0.0,1,0
2,0,0,0,15.05,2.0,0,1,1,16,0,34.93755889176229,0.0,1,0
3,0,4,2,31.3875,0.0,6,0,3,37,2,9.0,0.0,1,0
2,0,2,1,39.0,0.0,3,2,3,25,0,1.0,1.0,5,1
3,1,0,2,22.025,0.0,2,2,4,35,2,4.0,0.0,1,1
1,0,0,0,50.0,0.0,0,1,1,21,0,49.95222974896774,1.0,2,0
3,1,1,0,15.5,1.0,1,2,5,47,2,30.847197904031816,0.0,1,1
1,0,0,0,26.55,0.0,0,1,1,45,2,45.0,0.0,1,1
3,0,1,1,15.5,1.0,2,2,1,16,0,40.0,0.0,1,0
3,0,0,0,7.8958,0.0,0,1,1,19,0,36.0,0.0,1,0
2,1,0,0,13.0,0.0,0,1,5,19,0,32.0,0.0,1,1
2,0,0,0,13.0,0.0,0,1,1,21,0,19.0,0.0,1,0
3,1,1,0,7.8542,0.0,1,2,4,47,2,19.0,0.0,1,1
2,0,1,1,26.0,0.0,2,2,3,26,0,3.0,1.0,5,1
1,1,0,0,27.7208,2.0,0,1,5,41,2,44.0,1.0,6,1
1,1,0,0,146.5208,2.0,0,1,4,20,0,58.0,1.0,6,1
3,0,0,0,7.75,1.0,0,1,1,19,0,36.82876862250222,0.0,1,0
3,0,0,1,8.4042,0.0,1,2,1,32,1,42.0,0.0,1,0
3,1,0,0,7.75,1.0,0,1,4,32,1,25.730752026240886,0.0,1,1
2,1,0,0,13.0,0.0,0,1,4,38,2,24.0,0.0,1,0
3,0,0,0,9.5,0.0,0,1,1,30,1,28.0,0.0,1,0
3,0,8,2,69.55,0.0,10,0,1,19,0,21.656376777196503,0.0,1,0
3,0,0,0,6.4958,0.0,0,1,1,26,0,34.0,0.0,1,0
3,0,0,0,7.225,2.0,0,1,1,20,0,45.5,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,24,0,18.0,0.0,1,1
3,1,0,1,10.4625,0.0,1,2,4,26,0,2.0,1.0,3,0
3,0,1,0,15.85,0.0,1,2,1,26,0,32.0,0.0,1,0
3,0,0,0,18.7875,2.0,0,1,1,27,0,26.0,0.0,1,1
3,1,0,0,7.75,1.0,0,1,4,25,0,16.0,0.0,1,1
1,0,0,0,31.0,2.0,0,1,1,16,0,40.0,1.0,2,1
3,0,0,0,7.05,0.0,0,1,1,14,0,24.0,0.0,1,0
2,1,0,0,21.0,0.0,0,1,4,26,0,35.0,0.0,1,1
3,0,0,0,7.25,0.0,0,1,1,22,0,22.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,27,0,30.0,0.0,1,0
3,0,1,0,7.75,1.0,1,2,1,19,0,32.693374877022606,0.0,1,0
1,1,1,0,113.275,2.0,1,2,4,23,0,31.0,1.0,8,1
3,1,0,0,7.925,0.0,0,1,4,22,0,27.0,0.0,1,1
2,0,1,0,27.0,0.0,1,2,1,28,1,42.0,0.0,1,0
1,1,0,0,76.2917,2.0,0,1,4,21,0,32.0,1.0,8,1
2,0,0,0,10.5,0.0,0,1,1,18,0,30.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,30,1,16.0,0.0,1,1
2,0,0,0,13.0,0.0,0,1,1,20,0,27.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,23,0,51.0,0.0,1,0
3,0,0,0,7.8958,0.0,0,1,1,20,0,29.141757098574107,0.0,1,0
1,0,1,0,90.0,0.0,1,2,1,28,1,38.0,1.0,4,1
3,0,0,0,9.35,0.0,0,1,1,28,1,22.0,0.0,1,0
2,0,0,0,10.5,0.0,0,1,1,25,0,19.0,0.0,1,1
3,0,0,0,7.25,0.0,0,1,1,31,1,20.5,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,25,0,18.0,0.0,1,0
3,1,3,1,25.4667,0.0,4,0,4,23,0,9.346402071151086,0.0,1,0
1,1,1,0,83.475,0.0,1,2,5,44,2,35.0,1.0,4,1
3,0,0,0,7.775,0.0,0,1,1,24,0,29.0,0.0,1,0
2,0,0,0,13.5,0.0,0,1,1,25,0,59.0,0.0,1,0
3,1,4,2,31.3875,0.0,6,0,4,30,1,5.0,0.0,1,1
2,0,0,0,10.5,0.0,0,1,1,33,2,24.0,0.0,1,0
3,1,0,0,7.55,0.0,0,1,4,28,1,22.804985494616606,0.0,1,0
2,0,1,0,26.0,0.0,1,2,1,17,0,44.0,0.0,1,0
2,1,0,2,26.25,0.0,2,2,4,32,1,8.0,0.0,1,1
2,0,0,0,10.5,0.0,0,1,1,31,1,19.0,0.0,1,0
2,0,0,0,12.275,0.0,0,1,1,22,0,33.0,0.0,1,0
3,1,1,0,14.4542,2.0,1,2,4,21,0,18.31019521288008,0.0,1,0
3,1,1,0,15.5,1.0,1,2,4,30,1,21.1992086361273,0.0,1,1
2,0,0,0,10.5,0.0,0,1,1,31,1,29.0,0.0,1,0
3,0,0,0,7.125,0.0,0,1,1,29,1,22.0,0.0,1,0
3,0,0,0,7.225,2.0,0,1,1,20,0,30.0,0.0,1,0
1,0,2,0,90.0,1.0,2,2,2,27,0,44.0,1.0,4,0
3,1,0,0,7.775,0.0,0,1,4,37,2,25.0,0.0,1,0
2,1,0,2,14.5,0.0,2,2,5,31,1,24.0,0.0,1,1
1,0,1,1,52.5542,0.0,2,2,1,29,1,37.0,1.0,8,1
2,0,1,0,26.0,0.0,1,2,0,29,1,54.0,0.0,1,0
3,0,0,0,7.25,0.0,0,1,1,22,0,31.08485904081378,0.0,1,0
3,1,1,1,10.4625,0.0,2,2,5,42,2,29.0,1.0,3,0
1,0,0,0,26.55,0.0,0,1,1,25,0,62.0,1.0,4,0
3,0,1,0,16.1,0.0,1,2,1,24,0,30.0,0.0,1,0
3,1,0,2,20.2125,0.0,2,2,5,40,2,41.0,0.0,1,0
3,1,0,2,15.2458,2.0,2,2,5,39,2,29.0,0.0,1,1
1,1,0,0,79.2,2.0,0,1,5,30,1,48.116094006401156,0.0,1,1
1,1,0,0,86.5,0.0,0,1,4,20,0,30.0,1.0,6,1
1,1,0,0,512.3292,2.0,0,1,4,16,0,35.0,0.0,1,1
2,1,0,1,26.0,0.0,1,2,5,27,0,50.0,0.0,1,1
3,0,0,0,7.75,1.0,0,1,1,17,0,36.82876862250222,0.0,1,0
3,0,4,2,31.3875,0.0,6,0,3,33,2,3.0,0.0,1,1
1,0,1,1,79.65,0.0,2,2,1,17,0,52.0,1.0,7,0
1,0,0,0,0.0,0.0,0,1,1,21,0,40.0,1.0,6,0
3,1,0,0,7.75,1.0,0,1,4,18,0,27.69894447000022,0.0,1,0
2,0,0,0,10.5,0.0,0,1,1,17,0,36.0,0.0,1,0
3,0,4,1,39.6875,0.0,5,0,1,25,0,16.0,0.0,1,0
3,0,1,0,7.775,0.0,1,2,1,24,0,25.0,0.0,1,1
1,1,0,1,153.4625,0.0,1,2,5,45,2,58.0,1.0,4,1
1,1,0,0,135.6333,0.0,0,1,4,22,0,35.0,1.0,4,1
1,0,0,0,31.0,0.0,0,1,1,21,0,42.16675942916473,0.0,1,0
3,0,0,0,0.0,0.0,0,1,1,28,1,25.0,0.0,1,1
2,1,0,1,19.5,0.0,1,2,5,41,2,41.0,0.0,1,1
1,0,0,1,29.7,2.0,1,2,1,21,0,37.0,1.0,4,0
3,1,0,0,7.75,1.0,0,1,4,26,0,27.69894447000022,0.0,1,1
1,1,1,0,77.9583,0.0,1,2,4,33,2,63.0,1.0,8,1
3,1,0,0,7.75,0.0,0,1,4,33,2,45.0,0.0,1,0
2,0,0,0,0.0,0.0,0,1,1,27,0,36.851123280545316,0.0,1,0
3,0,4,1,29.125,1.0,5,0,3,18,0,7.0,0.0,1,0
3,1,1,1,20.25,0.0,2,2,5,32,1,35.0,0.0,1,1
3,0,0,0,7.75,1.0,0,1,1,16,0,65.0,0.0,1,0
3,0,0,0,7.8542,0.0,0,1,1,32,1,28.0,0.0,1,0
3,0,0,0,9.5,0.0,0,1,1,25,0,16.0,0.0,1,0
3,0,0,0,8.05,0.0,0,1,1,26,0,19.0,0.0,1,1
1,0,0,0,26.0,0.0,0,1,1,26,0,44.46919661526411,1.0,2,0
3,0,0,0,8.6625,2.0,0,1,1,19,0,33.0,0.0,1,0
3,0,0,0,9.5,0.0,0,1,1,23,0,30.0,0.0,1,1
3,0,0,0,7.8958,0.0,0,1,1,20,0,22.0,0.0,1,0
2,0,0,0,13.0,0.0,0,1,1,20,0,42.0,0.0,1,1
3,1,0,0,7.75,1.0,0,1,4,20,0,22.0,0.0,1,1
1,1,0,0,78.85,0.0,0,1,4,28,1,26.0,0.0,1,1
1,1,1,0,91.0792,2.0,1,2,5,39,2,19.0,1.0,6,1
2,0,0,0,12.875,2.0,0,1,1,22,0,36.0,1.0,8,0
3,1,0,0,8.85,0.0,0,1,4,19,0,24.0,0.0,1,0
3,0,0,0,7.8958,0.0,0,1,1,16,0,24.0,0.0,1,0
1,0,0,0,27.7208,2.0,0,1,1,17,0,39.45317045364363,0.0,1,0
